"","x"
"2499",9
"2500",3
"2501",4
"2502",0
"2503",0
"2504",4
"2505",6
"2506",1
"2507",6
"2508",0
"2509",14
"2510",8
"2511",1
"2512",0
"2513",11
"2514",1
"2515",2
"2516",19
"2517",11
"2518",8
"2519",0
"2520",4
"2521",12
"2522",0
"2523",14
"2524",0
"2525",3
"2526",1
"2527",22
"2528",8
"2529",2
"2530",32
"2531",16
"2532",1
"2533",11
"2534",6
"2535",5
"2536",13
"2537",0
"2538",2
"2539",0
"2540",1
"2541",2
"2542",2
"2543",10
"2544",16
"2545",25
"2546",34
"2547",7
"2548",8
"2549",0
"2550",0
"2551",0
"2552",1
"2553",13
"2554",2
"2555",0
"2556",8
"2557",10
"2558",0
"2559",0
"2560",26
"2561",1
"2562",2
"2563",0
"2564",17
"2565",4
"2566",14
"2567",8
"2568",9
"2569",8
"2570",15
"2571",1
"2572",19
"2573",1
"2574",8
"2575",10
"2576",19
"2577",1
"2578",21
"2579",1
"2580",12
"2581",0
"2582",3
"2583",3
"2584",2
"2585",9
"2586",17
"2587",34
"2588",28
"2589",0
"2590",0
"2591",4
"2592",5
"2593",1
"2594",16
"2595",8
"2596",4
"2597",1
"2598",1
"2599",5
"2600",4
"2601",6
"2602",4
"2603",3
"2604",5
"2605",12
"2606",1
"2607",5
"2608",38
"2609",9
"2610",2
"2611",0
"2612",0
"2613",12
"2614",0
"2615",0
"2616",10
"2617",11
"2618",11
"2619",22
"2620",3
"2621",2
"2622",4
"2623",3
"2624",2
"2625",2
"2626",0
"2627",2
"2628",0
"2629",3
"2630",1
"2631",7
"2632",2
"2633",12
"2634",0
"2635",22
"2636",5
"2637",7
"2638",5
"2639",5
"2640",2
"2641",1
"2642",3
"2643",0
"2644",0
"2645",3
"2646",3
"2647",0
"2648",22
"2649",1
"2650",2
"2651",8
"2652",17
"2653",30
"2654",4
"2655",8
"2656",19
"2657",5
"2658",2
"2659",1
"2660",9
"2661",8
"2662",4
"2663",2
"2664",2
"2665",0
"2666",0
"2667",16
"2668",3
"2669",11
"2670",26
"2671",1
"2672",1
"2673",3
"2674",1
"2675",10
"2676",5
"2677",0
"2678",9
"2679",0
"2680",2
"2681",13
"2682",14
"2683",10
"2684",0
"2685",14
"2686",4
"2687",32
"2688",21
"2689",2
"2690",14
"2691",9
"2692",4
"2693",22
"2694",8
"2695",11
"2696",1
"2697",6
"2698",5
"2699",0
"2700",1
"2701",2
"2702",0
"2703",0
"2704",0
"2705",7
"2706",0
"2707",7
"2708",1
"2709",5
"2710",2
"2711",2
"2712",14
"2713",3
"2714",1
"2715",13
"2716",2
"2717",0
"2718",4
"2719",16
"2720",6
"2721",9
"2722",3
"2723",36
"2724",14
"2725",0
"2726",4
"2727",4
"2728",4
"2729",2
"2730",10
"2731",5
"2732",10
"2733",3
"2734",7
"2735",3
"2736",1
"2737",1
"2738",0
"2739",1
"2740",5
"2741",2
"2742",2
"2743",1
"2744",0
"2745",23
"2746",9
"2747",31
"2748",10
"2749",2
"2750",2
"2751",4
"2752",1
"2753",3
"2754",7
"2755",1
"2756",1
"2757",10
"2758",22
"2759",4
"2760",1
"2761",5
"2762",0
"2763",0
"2764",4
"2765",12
"2766",9
"2767",12
"2768",1
"2769",3
"2770",0
"2771",3
"2772",19
"2773",8
"2774",2
"2775",29
"2776",29
"2777",3
"2778",5
"2779",18
"2780",5
"2781",5
"2782",21
"2783",1
"2784",4
"2785",10
"2786",8
"2787",2
"2788",1
"2789",0
"2790",10
"2791",1
"2792",8
"2793",5
"2794",1
"2795",20
"2796",9
"2797",13
"2798",2
"2799",6
"2800",6
"2801",1
"2802",8
"2803",7
"2804",2
"2805",1
"2806",10
"2807",1
"2808",1
"2809",39
"2810",10
"2811",22
"2812",0
"2813",14
"2814",18
"2815",1
"2816",14
"2817",23
"2818",7
"2819",2
"2820",1
"2821",2
"2822",13
"2823",2
"2824",9
"2825",0
"2826",11
"2827",4
"2828",0
"2829",0
"2830",10
"2831",1
"2832",6
"2833",17
"2834",2
"2835",34
"2836",0
"2837",2
"2838",10
"2839",3
"2840",0
"2841",0
"2842",1
"2843",7
"2844",12
"2845",2
"2846",16
"2847",3
"2848",13
"2849",15
"2850",8
"2851",13
"2852",0
"2853",4
"2854",5
"2855",0
"2856",21
"2857",6
"2858",1
"2859",1
"2860",9
"2861",1
"2862",8
"2863",3
"2864",0
"2865",1
"2866",2
"2867",19
"2868",0
"2869",10
"2870",19
"2871",1
"2872",33
"2873",0
"2874",11
"2875",0
"2876",0
"2877",8
"2878",2
"2879",1
"2880",3
"2881",16
"2882",7
"2883",7
"2884",4
"2885",5
"2886",12
"2887",8
"2888",7
"2889",1
"2890",17
"2891",3
"2892",15
"2893",8
"2894",7
"2895",2
"2896",6
"2897",1
"2898",0
"2899",0
"2900",2
"2901",3
"2902",1
"2903",5
"2904",5
"2905",0
"2906",1
"2907",13
"2908",3
"2909",6
"2910",11
"2911",9
"2912",0
"2913",4
"2914",5
"2915",2
"2916",9
"2917",13
"2918",0
"2919",4
"2920",2
"2921",0
"2922",0
"2923",4
"2924",3
"2925",10
"2926",5
"2927",20
"2928",0
"2929",1
"2930",17
"2931",5
"2932",1
"2933",5
"2934",0
"2935",4
"2936",6
"2937",7
"2938",3
"2939",4
"2940",6
"2941",0
"2942",2
"2943",31
"2944",2
"2945",1
"2946",0
"2947",12
"2948",2
"2949",13
"2950",2
"2951",11
"2952",6
"2953",2
"2954",6
"2955",41
"2956",1
"2957",9
"2958",2
"2959",28
"2960",5
"2961",0
"2962",3
"2963",0
"2964",11
"2965",11
"2966",1
"2967",0
"2968",6
"2969",0
"2970",10
"2971",38
"2972",0
"2973",4
"2974",4
"2975",18
"2976",15
"2977",10
"2978",11
"2979",1
"2980",0
"2981",7
"2982",5
"2983",20
"2984",52
"2985",10
"2986",2
"2987",1
"2988",1
"2989",0
"2990",9
"2991",4
"2992",7
"2993",0
"2994",18
"2995",3
"2996",9
"2997",1
"2998",0
"2999",4
"3000",6
"3001",20
"3002",7
"3003",2
"3004",8
"3005",5
"3006",9
"3007",11
"3008",3
"3009",8
"3010",5
"3011",39
"3012",21
"3013",0
"3014",12
"3015",20
"3016",8
"3017",6
"3018",2
"3019",15
"3020",2
"3021",0
"3022",50
"3023",3
"3024",3
"3025",46
"3026",8
"3027",24
"3028",0
"3029",2
"3030",6
"3031",5
"3032",19
"3033",7
"3034",5
"3035",16
"3036",6
"3037",4
"3038",0
"3039",0
"3040",3
"3041",7
"3042",2
"3043",53
"3044",5
"3045",1
"3046",2
"3047",8
"3048",3
"3049",7
"3050",6
"3051",1
"3052",10
"3053",1
"3054",20
"3055",5
"3056",7
"3057",6
"3058",14
"3059",3
"3060",24
"3061",19
"3062",3
"3063",1
"3064",21
"3065",3
"3066",5
"3067",7
"3068",7
"3069",0
"3070",3
"3071",4
"3072",10
"3073",1
"3074",15
"3075",0
"3076",12
"3077",3
"3078",24
"3079",6
"3080",1
"3081",1
"3082",0
"3083",0
"3084",22
"3085",3
"3086",7
"3087",6
"3088",1
"3089",5
"3090",13
"3091",2
"3092",15
"3093",0
"3094",1
"3095",2
"3096",6
"3097",2
"3098",9
"3099",1
"3100",3
"3101",4
"3102",23
"3103",0
"3104",1
"3105",2
"3106",17
"3107",22
"3108",5
"3109",0
"3110",0
"3111",5
"3112",0
"3113",0
"3114",10
"3115",2
"3116",1
"3117",5
"3118",6
"3119",14
"3120",7
"3121",3
"3122",14
"3123",1
"3124",3
"3125",10
"3126",1
"3127",12
"3128",3
"3129",4
"3130",2
"3131",2
"3132",0
"3133",3
"3134",1
"3135",9
"3136",10
"3137",7
"3138",14
"3139",3
"3140",4
"3141",2
"3142",4
"3143",0
"3144",26
"3145",11
"3146",22
"3147",0
"3148",0
"3149",4
"3150",0
"3151",14
"3152",0
"3153",10
"3154",2
"3155",2
"3156",10
"3157",13
"3158",10
"3159",4
"3160",0
"3161",7
"3162",7
"3163",0
"3164",0
"3165",4
"3166",17
"3167",3
"3168",0
"3169",8
"3170",4
"3171",1
"3172",1
"3173",6
"3174",0
"3175",5
"3176",2
"3177",2
"3178",14
"3179",6
"3180",4
"3181",1
"3182",2
"3183",2
"3184",14
"3185",2
"3186",15
"3187",3
"3188",1
"3189",7
"3190",25
"3191",4
"3192",0
"3193",14
"3194",3
"3195",12
"3196",5
"3197",4
"3198",25
"3199",0
"3200",1
"3201",2
"3202",11
"3203",6
"3204",0
"3205",12
"3206",18
"3207",1
"3208",1
"3209",20
"3210",0
"3211",21
"3212",20
"3213",12
"3214",5
"3215",4
"3216",2
"3217",1
"3218",1
"3219",0
"3220",2
"3221",18
"3222",24
"3223",13
"3224",2
"3225",3
"3226",1
"3227",7
"3228",2
"3229",5
"3230",1
"3231",6
"3232",4
"3233",2
"3234",23
"3235",1
"3236",2
"3237",0
"3238",5
"3239",10
"3240",5
"3241",2
"3242",15
"3243",20
"3244",0
"3245",0
"3246",0
"3247",9
"3248",7
"3249",0
"3250",0
"3251",20
"3252",23
"3253",10
"3254",4
"3255",0
"3256",14
"3257",11
"3258",9
"3259",3
"3260",3
"3261",2
"3262",29
"3263",1
"3264",9
"3265",20
"3266",0
"3267",6
"3268",0
"3269",1
"3270",0
"3271",0
"3272",0
"3273",3
"3274",0
"3275",0
"3276",1
"3277",1
"3278",20
"3279",1
"3280",32
"3281",6
"3282",0
"3283",7
"3284",2
"3285",1
"3286",9
"3287",18
"3288",2
"3289",12
"3290",10
"3291",0
"3292",13
"3293",6
"3294",0
"3295",0
"3296",6
"3297",1
"3298",2
"3299",5
"3300",1
"3301",4
"3302",5
"3303",5
"3304",2
"3305",5
"3306",2
"3307",6
"3308",0
"3309",4
"3310",3
"3311",14
"3312",15
"3313",1
"3314",3
"3315",1
"3316",0
"3317",3
"3318",6
"3319",23
"3320",26
"3321",1
"3322",2
"3323",12
"3324",4
"3325",6
"3326",1
"3327",5
"3328",10
"3329",1
"3330",6
"3331",3
"3332",2
"3333",13
"3334",13
"3335",1
"3336",0
"3337",1
"3338",3
"3339",1
"3340",3
"3341",3
"3342",9
"3343",6
"3344",5
"3345",20
"3346",12
"3347",2
"3348",1
"3349",7
"3350",1
"3351",2
"3352",3
"3353",4
"3354",23
"3355",0
"3356",2
"3357",39
"3358",1
"3359",16
"3360",5
"3361",0
"3362",5
"3363",23
"3364",0
"3365",24
"3366",1
"3367",7
"3368",6
"3369",4
"3370",14
"3371",13
"3372",1
"3373",5
"3374",4
"3375",5
"3376",12
"3377",5
"3378",9
"3379",4
"3380",20
"3381",71
"3382",14
"3383",18
"3384",0
"3385",2
"3386",0
"3387",16
"3388",8
"3389",3
"3390",13
"3391",9
"3392",10
"3393",5
"3394",9
"3395",16
"3396",7
"3397",2
"3398",13
"3399",0
"3400",2
"3401",5
"3402",13
"3403",2
"3404",8
"3405",2
"3406",17
"3407",14
"3408",1
"3409",16
"3410",7
"3411",21
"3412",1
"3413",6
"3414",0
"3415",3
"3416",0
"3417",26
"3418",0
"3419",1
"3420",11
"3421",17
"3422",1
"3423",0
"3424",4
"3425",7
"3426",7
"3427",2
"3428",15
"3429",14
"3430",0
"3431",0
"3432",12
"3433",6
"3434",0
"3435",1
"3436",12
"3437",4
"3438",16
"3439",1
"3440",14
"3441",1
"3442",1
"3443",1
"3444",2
"3445",3
"3446",16
"3447",6
"3448",14
"3449",7
"3450",4
"3451",4
"3452",7
"3453",6
"3454",4
"3455",6
"3456",3
"3457",28
"3458",0
"3459",2
"3460",2
"3461",8
"3462",9
"3463",4
"3464",10
"3465",0
"3466",1
"3467",0
"3468",6
"3469",1
"3470",22
"3471",2
"3472",8
"3473",0
"3474",10
"3475",9
"3476",7
"3477",7
"3478",6
"3479",8
"3480",1
"3481",1
"3482",2
"3483",9
"3484",7
"3485",4
"3486",22
"3487",29
"3488",2
"3489",1
"3490",13
"3491",19
"3492",11
"3493",6
"3494",6
"3495",0
"3496",0
"3497",17
"3498",2
"3499",5
"3500",2
"3501",14
"3502",19
"3503",11
"3504",4
"3505",0
"3506",12
"3507",12
"3508",4
"3509",8
"3510",5
"3511",6
"3512",1
"3513",26
"3514",7
"3515",8
"3516",2
"3517",1
"3518",13
"3519",4
"3520",2
"3521",11
"3522",60
"3523",13
"3524",0
"3525",9
"3526",3
"3527",39
"3528",9
"3529",3
"3530",0
"3531",13
"3532",12
"3533",3
"3534",6
"3535",0
"3536",4
"3537",8
"3538",5
"3539",8
"3540",1
"3541",0
"3542",2
"3543",11
"3544",2
"3545",32
"3546",7
"3547",0
"3548",18
"3549",0
"3550",6
"3551",1
"3552",0
"3553",17
"3554",4
"3555",1
"3556",1
"3557",15
"3558",3
"3559",1
"3560",6
"3561",0
"3562",18
"3563",1
"3564",5
"3565",9
"3566",0
"3567",8
"3568",10
"3569",15
"3570",2
"3571",15
"3572",15
"3573",2
"3574",40
"3575",7
"3576",2
"3577",14
"3578",2
"3579",16
"3580",2
"3581",5
"3582",0
"3583",1
"3584",2
"3585",8
"3586",1
"3587",1
"3588",14
"3589",1
"3590",20
"3591",1
"3592",11
"3593",12
"3594",5
"3595",1
"3596",12
"3597",1
"3598",20
"3599",18
"3600",5
"3601",1
"3602",8
"3603",8
"3604",5
"3605",0
"3606",2
"3607",3
"3608",7
"3609",2
"3610",2
"3611",4
"3612",3
"3613",6
"3614",1
"3615",4
"3616",0
"3617",4
"3618",2
"3619",0
"3620",0
"3621",13
"3622",18
"3623",26
"3624",6
"3625",7
"3626",0
"3627",13
"3628",0
"3629",0
"3630",2
"3631",0
"3632",0
"3633",17
"3634",14
"3635",9
"3636",11
"3637",1
"3638",0
"3639",1
"3640",14
"3641",16
"3642",4
"3643",1
"3644",14
"3645",2
"3646",7
"3647",2
"3648",0
"3649",4
"3650",2
"3651",0
"3652",0
"3653",4
"3654",2
"3655",28
"3656",7
"3657",1
"3658",0
"3659",1
"3660",7
"3661",0
"3662",1
"3663",2
"3664",2
"3665",2
"3666",1
"3667",9
"3668",8
"3669",4
"3670",5
"3671",10
"3672",10
"3673",0
"3674",12
"3675",23
"3676",4
"3677",2
"3678",2
"3679",11
"3680",1
"3681",3
"3682",2
"3683",21
"3684",4
"3685",0
"3686",0
"3687",6
"3688",6
"3689",6
"3690",4
"3691",7
"3692",2
"3693",1
"3694",1
"3695",10
"3696",3
"3697",0
"3698",22
"3699",20
"3700",2
"3701",1
"3702",2
"3703",0
"3704",5
"3705",0
"3706",9
"3707",7
"3708",1
"3709",2
"3710",16
"3711",11
"3712",16
"3713",6
"3714",0
"3715",0
"3716",26
"3717",3
"3718",2
"3719",21
"3720",3
"3721",0
"3722",8
"3723",7
"3724",11
"3725",0
"3726",4
"3727",6
"3728",0
"3729",0
"3730",3
"3731",1
"3732",2
"3733",0
"3734",3
"3735",4
"3736",41
"3737",6
"3738",10
"3739",3
"3740",0
"3741",24
"3742",1
"3743",22
"3744",13
"3745",0
"3746",0
"3747",0
"3748",0
"3749",13
"3750",6
"3751",0
"3752",5
"3753",5
"3754",0
"3755",39
"3756",1
"3757",20
"3758",2
"3759",27
"3760",17
"3761",4
"3762",1
"3763",2
"3764",31
"3765",3
"3766",1
"3767",0
"3768",5
"3769",16
"3770",1
"3771",4
"3772",25
"3773",1
"3774",22
"3775",18
"3776",12
"3777",3
"3778",5
"3779",0
"3780",4
"3781",0
"3782",12
"3783",18
"3784",2
"3785",8
"3786",0
"3787",8
"3788",10
"3789",5
"3790",12
"3791",6
"3792",0
"3793",9
"3794",0
"3795",27
"3796",6
"3797",10
"3798",0
"3799",17
"3800",6
"3801",1
"3802",0
"3803",1
"3804",1
"3805",5
"3806",1
"3807",2
"3808",18
"3809",2
"3810",8
"3811",53
"3812",3
"3813",11
"3814",12
"3815",1
"3816",1
"3817",6
"3818",1
"3819",3
"3820",5
"3821",32
"3822",5
"3823",0
"3824",0
"3825",35
"3826",3
"3827",17
"3828",26
"3829",2
"3830",13
"3831",5
"3832",1
"3833",2
"3834",20
"3835",0
"3836",3
"3837",2
"3838",1
"3839",3
"3840",5
"3841",3
"3842",4
"3843",7
"3844",10
"3845",13
"3846",26
"3847",15
"3848",11
"3849",0
"3850",3
"3851",2
"3852",6
"3853",9
"3854",5
"3855",20
"3856",2
"3857",1
"3858",8
"3859",2
"3860",0
"3861",9
"3862",10
"3863",6
"3864",27
"3865",12
"3866",1
"3867",5
"3868",10
"3869",0
"3870",2
"3871",5
"3872",2
"3873",17
"3874",8
"3875",19
"3876",5
"3877",5
"3878",7
"3879",1
"3880",0
"3881",5
"3882",0
"3883",23
"3884",18
"3885",0
"3886",7
"3887",5
"3888",6
"3889",1
"3890",9
"3891",1
"3892",8
"3893",1
"3894",21
"3895",9
"3896",0
"3897",4
"3898",5
"3899",4
"3900",8
"3901",13
"3902",8
"3903",1
"3904",2
"3905",1
"3906",7
"3907",14
"3908",5
"3909",5
"3910",4
"3911",5
"3912",10
"3913",5
"3914",3
"3915",16
"3916",3
"3917",1
"3918",10
"3919",7
"3920",4
"3921",17
"3922",13
"3923",0
"3924",3
"3925",1
"3926",1
"3927",42
"3928",3
"3929",2
"3930",0
"3931",3
"3932",0
"3933",3
"3934",1
"3935",0
"3936",1
"3937",0
"3938",2
"3939",3
"3940",13
"3941",0
"3942",4
"3943",19
"3944",0
"3945",8
"3946",12
"3947",0
"3948",8
"3949",3
"3950",5
"3951",4
"3952",8
"3953",0
"3954",0
"3955",11
"3956",6
"3957",17
"3958",0
"3959",3
"3960",1
"3961",3
"3962",2
"3963",14
"3964",3
"3965",0
"3966",12
"3967",2
"3968",3
"3969",0
"3970",4
"3971",1
"3972",10
"3973",15
"3974",17
"3975",0
"3976",11
"3977",7
"3978",2
"3979",5
"3980",1
"3981",0
"3982",4
"3983",0
"3984",3
"3985",6
"3986",8
"3987",4
"3988",0
"3989",1
"3990",6
"3991",15
"3992",5
"3993",16
"3994",9
"3995",0
"3996",0
"3997",0
"3998",2
"3999",1
"4000",9
"4001",34
"4002",0
"4003",17
"4004",4
"4005",5
"4006",11
"4007",2
"4008",12
"4009",6
"4010",7
"4011",4
"4012",8
"4013",0
"4014",2
"4015",0
"4016",1
"4017",10
"4018",10
"4019",0
"4020",6
"4021",11
"4022",10
"4023",15
"4024",2
"4025",3
"4026",3
"4027",0
"4028",5
"4029",13
"4030",2
"4031",0
"4032",5
"4033",1
"4034",0
"4035",7
"4036",2
"4037",2
"4038",5
"4039",3
"4040",2
"4041",6
"4042",10
"4043",2
"4044",2
"4045",21
"4046",12
"4047",0
"4048",38
"4049",2
"4050",2
"4051",2
"4052",18
"4053",0
"4054",14
"4055",0
"4056",1
"4057",1
"4058",0
"4059",0
"4060",1
"4061",18
"4062",23
"4063",8
"4064",1
"4065",1
"4066",7
"4067",22
"4068",22
"4069",2
"4070",11
"4071",1
"4072",1
"4073",25
"4074",2
"4075",1
"4076",1
"4077",38
"4078",19
"4079",3
"4080",9
"4081",0
"4082",16
"4083",6
"4084",0
"4085",6
"4086",3
"4087",11
"4088",1
"4089",0
"4090",9
"4091",0
"4092",0
"4093",6
"4094",13
"4095",21
"4096",14
"4097",14
"4098",9
"4099",11
"4100",2
"4101",4
"4102",7
"4103",1
"4104",0
"4105",5
"4106",3
"4107",0
"4108",17
"4109",7
"4110",40
"4111",6
"4112",1
"4113",1
"4114",21
"4115",9
"4116",0
"4117",18
"4118",7
"4119",18
"4120",1
"4121",3
"4122",14
"4123",8
"4124",5
"4125",0
"4126",9
"4127",4
"4128",34
"4129",4
"4130",10
"4131",35
"4132",8
"4133",0
"4134",3
"4135",0
"4136",32
"4137",0
"4138",13
"4139",4
"4140",8
"4141",12
"4142",22
"4143",7
"4144",7
"4145",9
"4146",14
"4147",1
"4148",22
"4149",2
"4150",4
"4151",11
"4152",8
"4153",0
"4154",25
"4155",1
"4156",13
"4157",0
"4158",5
"4159",8
"4160",1
"4161",3
"4162",3
"4163",2
"4164",8
"4165",12
"4166",0
"4167",37
"4168",3
"4169",0
"4170",4
"4171",4
"4172",5
"4173",5
"4174",21
"4175",14
"4176",35
"4177",2
"4178",4
"4179",0
"4180",7
"4181",2
"4182",3
"4183",0
"4184",5
"4185",20
"4186",0
"4187",2
"4188",0
"4189",4
"4190",7
"4191",9
"4192",5
"4193",0
"4194",7
"4195",7
"4196",2
"4197",0
"4198",3
"4199",1
"4200",12
"4201",15
"4202",3
"4203",13
"4204",4
"4205",1
"4206",5
"4207",4
"4208",9
"4209",26
"4210",7
"4211",6
"4212",15
"4213",1
"4214",1
"4215",29
"4216",5
"4217",1
"4218",0
"4219",0
"4220",6
"4221",0
"4222",15
"4223",1
"4224",2
"4225",6
"4226",0
"4227",2
"4228",6
"4229",8
"4230",1
"4231",0
"4232",0
"4233",8
"4234",11
"4235",8
"4236",3
"4237",1
"4238",1
"4239",0
"4240",12
"4241",3
"4242",14
"4243",5
"4244",0
"4245",1
"4246",25
"4247",5
"4248",6
"4249",1
"4250",2
"4251",5
"4252",7
"4253",2
"4254",3
"4255",5
"4256",7
"4257",1
"4258",2
"4259",29
"4260",6
"4261",0
"4262",1
"4263",3
"4264",0
"4265",2
"4266",44
"4267",6
"4268",22
"4269",0
"4270",37
"4271",16
"4272",16
"4273",5
"4274",2
"4275",15
"4276",5
"4277",1
"4278",51
"4279",21
"4280",1
"4281",0
"4282",1
"4283",11
"4284",2
"4285",5
"4286",0
"4287",0
"4288",12
"4289",20
"4290",0
"4291",1
"4292",0
"4293",0
"4294",1
"4295",1
"4296",3
"4297",5
"4298",6
"4299",0
"4300",6
"4301",14
"4302",0
"4303",1
"4304",3
"4305",24
"4306",1
"4307",5
"4308",0
"4309",0
"4310",10
"4311",13
"4312",14
"4313",13
"4314",5
"4315",1
"4316",9
"4317",0
"4318",2
"4319",5
"4320",11
"4321",1
"4322",0
"4323",14
"4324",16
"4325",1
"4326",5
"4327",0
"4328",4
"4329",4
"4330",1
"4331",10
"4332",21
"4333",26
"4334",19
"4335",9
"4336",7
"4337",20
"4338",14
"4339",1
"4340",0
"4341",4
"4342",0
"4343",3
"4344",1
"4345",0
"4346",10
"4347",0
"4348",4
"4349",14
"4350",7
"4351",0
"4352",19
"4353",1
"4354",4
"4355",3
"4356",5
"4357",3
"4358",6
"4359",5
"4360",0
"4361",6
"4362",3
"4363",18
"4364",7
"4365",13
"4366",16
"4367",21
"4368",8
"4369",10
"4370",1
"4371",20
"4372",1
"4373",8
"4374",11
"4375",1
"4376",12
"4377",13
"4378",9
"4379",1
"4380",36
"4381",3
"4382",12
"4383",1
"4384",1
"4385",8
"4386",1
"4387",2
"4388",1
"4389",1
"4390",26
"4391",3
"4392",8
"4393",4
"4394",31
"4395",14
"4396",0
"4397",0
"4398",1
"4399",0
"4400",3
"4401",1
"4402",5
"4403",20
"4404",5
"4405",3
"4406",3
"4407",1
"4408",6
"4409",40
"4410",3
"4411",6
"4412",1
"4413",8
"4414",6
"4415",3
"4416",9
"4417",2
"4418",0
"4419",0
"4420",12
"4421",2
"4422",9
"4423",8
"4424",3
"4425",10
"4426",0
"4427",1
"4428",1
"4429",2
"4430",9
"4431",0
"4432",1
"4433",13
"4434",22
"4435",4
"4436",13
"4437",7
"4438",7
"4439",0
"4440",0
"4441",14
"4442",1
"4443",18
"4444",4
"4445",2
"4446",7
"4447",18
"4448",8
"4449",4
"4450",56
"4451",14
"4452",2
"4453",3
"4454",9
"4455",0
"4456",21
"4457",15
"4458",0
"4459",4
"4460",1
"4461",8
"4462",5
"4463",3
"4464",39
"4465",0
"4466",0
"4467",9
"4468",6
"4469",1
"4470",2
"4471",6
"4472",44
"4473",20
"4474",7
"4475",0
"4476",15
"4477",2
"4478",0
"4479",8
"4480",4
"4481",11
"4482",6
"4483",3
"4484",13
"4485",13
"4486",25
"4487",12
"4488",5
"4489",13
"4490",18
"4491",8
"4492",16
"4493",5
"4494",15
"4495",4
"4496",10
"4497",3
"4498",15
"4499",22
"4500",0
"4501",3
"4502",0
"4503",31
"4504",0
"4505",1
"4506",7
"4507",7
"4508",21
"4509",4
"4510",4
"4511",0
"4512",5
"4513",46
"4514",12
"4515",2
"4516",8
"4517",0
"4518",1
"4519",0
"4520",23
"4521",9
"4522",0
"4523",7
"4524",1
"4525",2
"4526",0
"4527",3
"4528",9
"4529",15
"4530",2
"4531",12
"4532",6
"4533",0
"4534",0
"4535",0
"4536",1
"4537",23
"4538",5
"4539",7
"4540",0
"4541",2
"4542",7
"4543",1
"4544",2
"4545",9
"4546",5
"4547",3
"4548",2
"4549",2
"4550",7
"4551",2
"4552",1
"4553",6
"4554",2
"4555",0
"4556",3
"4557",5
"4558",3
"4559",8
"4560",15
"4561",3
"4562",6
"4563",3
"4564",0
"4565",2
"4566",1
"4567",0
"4568",1
"4569",4
"4570",27
"4571",1
"4572",4
"4573",0
"4574",1
"4575",27
"4576",2
"4577",0
"4578",3
"4579",2
"4580",11
"4581",14
"4582",7
"4583",18
"4584",3
"4585",1
"4586",12
"4587",13
"4588",17
"4589",2
"4590",0
"4591",3
"4592",0
"4593",4
"4594",0
"4595",0
"4596",32
"4597",10
"4598",1
"4599",13
"4600",0
"4601",6
"4602",2
"4603",22
"4604",17
"4605",5
"4606",9
"4607",7
"4608",0
"4609",1
"4610",7
"4611",2
"4612",2
"4613",0
"4614",7
"4615",5
"4616",2
"4617",6
"4618",20
"4619",6
"4620",8
"4621",3
"4622",1
"4623",1
"4624",18
"4625",0
"4626",8
"4627",2
"4628",0
"4629",13
"4630",17
"4631",13
"4632",1
"4633",0
"4634",3
"4635",0
"4636",9
"4637",25
"4638",13
"4639",0
"4640",2
"4641",2
"4642",8
"4643",4
"4644",4
"4645",11
"4646",2
"4647",9
"4648",7
"4649",0
"4650",9
"4651",7
"4652",24
"4653",4
"4654",3
"4655",2
"4656",5
"4657",7
"4658",19
"4659",2
"4660",3
"4661",0
"4662",2
"4663",17
"4664",2
"4665",6
"4666",1
"4667",26
"4668",5
"4669",2
"4670",11
"4671",20
"4672",0
"4673",6
"4674",2
"4675",8
"4676",2
"4677",1
"4678",6
"4679",0
"4680",4
"4681",4
"4682",6
"4683",1
"4684",3
"4685",9
"4686",6
"4687",2
"4688",26
"4689",8
"4690",1
"4691",7
"4692",4
"4693",11
"4694",5
"4695",0
"4696",18
"4697",14
"4698",17
"4699",3
"4700",3
"4701",3
"4702",2
"4703",12
"4704",8
"4705",2
"4706",0
"4707",7
"4708",9
"4709",2
"4710",10
"4711",11
"4712",0
"4713",8
"4714",8
"4715",7
"4716",15
"4717",4
"4718",2
"4719",1
"4720",3
"4721",3
"4722",6
"4723",2
"4724",1
"4725",0
"4726",0
"4727",10
"4728",0
"4729",2
"4730",2
"4731",2
"4732",6
"4733",2
"4734",12
"4735",2
"4736",2
"4737",0
"4738",3
"4739",4
"4740",19
"4741",0
"4742",10
"4743",22
"4744",0
"4745",12
"4746",0
"4747",2
"4748",2
"4749",5
"4750",20
"4751",0
"4752",6
"4753",0
"4754",1
"4755",1
"4756",27
"4757",3
"4758",2
"4759",2
"4760",0
"4761",30
"4762",3
"4763",6
"4764",2
"4765",20
"4766",3
"4767",0
"4768",1
"4769",6
"4770",0
"4771",0
"4772",1
"4773",6
"4774",0
"4775",3
"4776",3
"4777",5
"4778",4
"4779",11
"4780",14
"4781",4
"4782",4
"4783",3
"4784",0
"4785",8
"4786",9
"4787",6
"4788",9
"4789",2
"4790",2
"4791",3
"4792",0
"4793",12
"4794",0
"4795",0
"4796",4
"4797",14
"4798",1
"4799",5
"4800",7
"4801",14
"4802",11
"4803",1
"4804",0
"4805",1
"4806",4
"4807",1
"4808",2
"4809",2
"4810",6
"4811",2
"4812",15
"4813",7
"4814",0
"4815",0
"4816",1
"4817",2
"4818",2
"4819",0
"4820",7
"4821",9
"4822",9
"4823",3
"4824",14
"4825",4
"4826",0
"4827",7
"4828",4
"4829",3
"4830",13
